Date,Timestamp,Unix_Timestamp,Open,Close,High,Low,Volume,Value,Market
2025-09-22,2025-09-22 00:00:00,1758499200,3.5084,4.7794,7.1692,3.1015,55274.15339049,267354.9554663746,0GUSDT
2025-09-23,2025-09-23 00:00:00,1758585600,4.7794,5.8789,7.15,4.6026,23209.46636514,134849.41772603907,0GUSDT
2025-09-24,2025-09-24 00:00:00,1758672000,5.838,5.0037,5.8381,4.8494,5867.20831859,30376.15460444541,0GUSDT
2025-09-25,2025-09-25 00:00:00,1758758400,5.0038,3.9152,5.0038,3.6469,8539.88614544,33688.79374688719,0GUSDT
2025-09-26,2025-09-26 00:00:00,1758844800,3.8974,3.6744,4.418,3.343,7126.90949278,26879.757880918012,0GUSDT
2025-09-27,2025-09-27 00:00:00,1758931200,3.677,3.7153,3.9647,3.4526,5527.08947498,20320.34920900737,0GUSDT
2025-09-28,2025-09-28 00:00:00,1759017600,3.7208,3.7303,3.8792,3.4605,4510.3530712,16477.150757499534,0GUSDT
2025-09-29,2025-09-29 00:00:00,1759104000,3.7296,2.8803,3.767,2.73,5284.24717083,16814.37036164279,0GUSDT
2025-09-30,2025-09-30 00:00:00,1759190400,2.8803,2.5394,2.8954,2.4025,3899.34838602,10104.886782735995,0GUSDT
2025-10-01,2025-10-01 00:00:00,1759276800,2.5404,2.7674,3.2154,2.5236,6977.85003962,19579.379021281355,0GUSDT
2025-10-02,2025-10-02 00:00:00,1759363200,2.757,2.7064,2.8364,2.499,2615.4180054,7066.557842402352,0GUSDT
2025-10-03,2025-10-03 00:00:00,1759449600,2.7063,3.3726,3.5102,2.6726,8402.94267553,26246.55709553643,0GUSDT
2025-10-04,2025-10-04 00:00:00,1759536000,3.3388,2.9935,3.3388,2.926,2485.82727227,7598.293147121337,0GUSDT
2025-10-05,2025-10-05 00:00:00,1759622400,2.9808,2.9015,3.0608,2.8619,2372.81463752,6997.347292999086,0GUSDT
2025-10-06,2025-10-06 00:00:00,1759708800,2.8894,3.0638,3.2243,2.8823,3402.02263885,10448.680017315697,0GUSDT
2025-10-07,2025-10-07 00:00:00,1759795200,3.0602,2.8511,3.0602,2.8182,1366.15605761,4000.866407928461,0GUSDT
2025-10-08,2025-10-08 00:00:00,1759881600,2.8449,2.7913,2.8587,2.7195,1312.59546248,3661.133001041183,0GUSDT
2025-10-09,2025-10-09 00:00:00,1759968000,2.7915,2.5995,2.7975,2.5324,1506.95089016,4001.670425402608,0GUSDT
2025-10-10,2025-10-10 00:00:00,1760054400,2.5995,2.1479,2.7973,1.6957,5621.69345752,13125.457354661956,0GUSDT
2025-10-11,2025-10-11 00:00:00,1760140800,2.1439,2.1852,2.4394,2.1439,2111.11127733,4797.917306634798,0GUSDT
2025-10-12,2025-10-12 00:00:00,1760227200,2.1852,2.2893,2.3328,2.1097,2486.85540806,5583.405762219857,0GUSDT
2025-10-13,2025-10-13 00:00:00,1760313600,2.2898,2.3544,2.3662,2.2053,1948.10932914,4447.479036239585,0GUSDT
2025-10-14,2025-10-14 00:00:00,1760400000,2.3543,2.1878,2.3543,2.067,2317.10909641,5112.088970869784,0GUSDT
2025-10-15,2025-10-15 00:00:00,1760486400,2.1821,2.0335,2.2056,2.0135,1992.61957199,4209.579118168224,0GUSDT
